Company/Brand Name,Contact Name,Role,Region,Why They're a Fit,Outreach Status,Notes
Christie Brown,,,"Accra, Ghana","Ghana's leading luxury womenswear house (Aisha Ayensu); worn by international press and celebrities — same fashion-editorial tier as the Vogue credit, with a home-market presence BrandMotion can leverage directly.",Not started,"Runway + lookbook film needs on a recurring seasonal cycle."
Arise Fashion Week / Arise Magazine,,,"Lagos / London (pan-African)","Premier pan-African fashion platform that regularly bridges African design houses to global (Vogue-adjacent) audiences — strong strategic fit for a studio positioned as 'Africa, in full frame.'",Not started,"Large-scale event — likely needs a multi-camera crew, good stretch target."
Ajabeng,,,"Accra, Ghana","Rising Ghanaian heritage-meets-modern label (Travis Obeng-Casper) gaining international press; smaller than Christie Brown but a natural growth-stage fashion-film client with direct Accra proximity.",Not started,"Earlier-stage brand — good for building the fashion-client base locally."
Essence Magazine,,,"United States (Africa/diaspora desk)","Major editorial title with sustained Africa and diaspora fashion coverage — comparable caliber to Vogue and a plausible commissioner of Africa-shot editorial content.",Not started,"Pitch via their Africa/diaspora features desk rather than general editorial."
Grazia,,,"International (multiple regional editions)","Global fashion editorial brand with regional editions across markets with African relevance — same tier as the existing Vogue credit.",Not started,""
British Airways,,,"London – Accra route","Flies daily nonstop into Accra; a global aviation brand at the same caliber as the United Airlines credit, with an established West Africa route to hang a campaign on.",Not started,"Likely routed through their global or West Africa marketing/agency partners rather than a direct line."
Ethiopian Airlines,,,"Addis Ababa (pan-African + global routes)","Africa's largest carrier by network reach, with heavy brand/content output — an Africa-headquartered peer to the United Airlines credit rather than just a foreign carrier serving Africa.",Not started,"High-value, high-competition target — expect an agency of record in the loop."
Africa World Airlines (AWA),,,"Accra, Ghana","Ghana-headquartered regional carrier — closest-to-home aviation target, strong logo/brand-film fit and easy in-person follow-up given shared home base.",Not started,"Best near-term aviation target given HQ proximity."
Kenya Airways,,,"Nairobi (pan-African + global routes)","Major African flag carrier with pan-continental brand campaigns — comparable scale/tier to United Airlines.",Not started,""
Turkish Airlines,,,"Istanbul – Accra route","Flies to Accra and is known for heavy destination-marketing content output — global aviation caliber matching the United Airlines credit.",Not started,"Marketing likely centralized in Istanbul; expect a longer sales cycle."
International Tree Foundation (ITF),,,"UK-based, active programs in Ghana","UK charity funding reforestation programs directly in Ghana — a near-exact peer to the Tree Aid credit, same NGO/environmental tier and same operating region.",Not started,"Most direct comparable to the Tree Aid relationship — lead with that credit."
World Vision Ghana,,,"Accra, Ghana (country office)","Major international development NGO with a full Ghana country office — same INGO tier as Tree Aid, broader development mandate.",Not started,""
WaterAid Ghana,,,"Accra, Ghana (country office)","International WASH-focused NGO with an established Ghana office — comparable NGO caliber and documentary/impact-film needs to Tree Aid.",Not started,""
Solidaridad West Africa,,,"West Africa (cocoa/land-use focus)","Sustainability and development NGO active in Ghana's cocoa sector — regional West Africa focus matching Tree Aid's Sahel/West Africa mandate.",Not started,""
UNICEF Ghana,,,"Accra, Ghana (country office)","UN agency with a Ghana country office and a large-scale mandate — bigger tier than Tree Aid but same mission-driven-film buyer profile.",Not started,"Likely requires procurement/vendor registration rather than informal pitch."
MTN Ghana,,,"Accra, Ghana","Ghana's largest telecom, part of a pan-African brand with substantial ad budgets and a steady cadence of brand films — corporate tier comparable to United Airlines.",Not started,""
Guinness Ghana Breweries (Diageo Africa),,,"Accra, Ghana","Major FMCG brand with deep cultural presence in Ghana/West Africa and large recurring campaign budgets — strong corporate-tier fit.",Not started,""
Vodafone Ghana,,,"Accra, Ghana","Large telecom with consistent brand-film output and strong local presence — corporate caliber matching the United Airlines credit.",Not started,""
Global Media Alliance (GMA),,,"Accra, Ghana","Established (25+ yr) Accra media/creative agency handling brand activation and creative production for major clients — a potential production partner or referral source rather than a direct end client.",Not started,"Agency relationship, not a brand client — useful for pipeline/referrals."
Ogilvy Africa,,,"Multiple African offices (global network)","Global ad agency network with Africa offices serving multinational clients that need local production partners — access point to larger brand budgets.",Not started,"Agency relationship — pitch as a production partner for their Africa-market clients."
